cover,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,2400-2500,2500-2600,2600-2700,2700-2800,2800-2900,2900-3000,3000-3100,3100-3200,3200-3300,3300-3400,3400-3500,3500-3600,3600-3700,3700-3800,3800-3900,3900-4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,3.91E-05,1.10E-04,0,0,0,0,0,0,0,0,0,0.0014826796,0,0,0.0018343014,0.0001871958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,7.81E-05,9.94E-05,0,0,0,0,0,0,0,0,0,0.0033697264,0.0006778512,0.0006778512,0.0018343014,0.0001871958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004038772,0,0
7.5,0,8.93E-05,1.10E-04,0,0,0,0,0,0,0,0,0,0.002560992,0.0003389256,0.0003389256,0.0022928768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0001222808,1.45E-04,1.10E-04,0,0,0,0,0,0,0,0,0,0.0022914139,0.0011862396,0.0011862396,0.0018343014,0.0001871958,0,0,0,0.000178444,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0.0018953521,4.97E-04,2.43E-04,2.86E-05,2.89E-05,0,1.08E-04,0,0,0,0,0.0002274537,0.0032349373,0.0001694628,0.0001694628,0.0022928768,0.0001871958,0,0,0,0,0,0,0,0,0,0,0.0003299241,0,0,0,0,0,0
15,0.018947407,7.92E-03,6.48E-03,1.41E-03,4.91E-04,7.52E-05,2.70E-04,1.24E-04,0,2.45E-04,9.26E-05,0.000682361,0.0045828279,0.0006778512,0.0006778512,0.0019871599,0,0,0,0.0001452644,0,0,0,0,0,0,0,0.0001649621,0,0,0,0,0,0
17.5,0.1298988738,8.50E-02,1.01E-01,3.54E-02,1.52E-02,7.33E-03,4.43E-03,1.86E-03,8.98E-04,8.97E-04,2.04E-03,0.0023882634,0.0044480388,0.0005083884,0.0005083884,0.0024457352,0,0.0001499925,0.0001499925,0.0004357931,0.0003568879,0,0,0,0,0,0,0.0006598482,0,0,0,0.0004038772,0,0
20,0.3223749373,3.37E-01,2.68E-01,1.23E-01,8.44E-02,6.32E-02,4.04E-02,1.72E-02,1.15E-02,9.29E-03,1.03E-02,0.0043216195,0.0055263513,0.0015251652,0.0015251652,0.0022928768,0.0001871958,0.0007499625,0.0007499625,0.0005810575,0.000178444,0,0,0,0,0,0.0010506041,0.0013196965,0,0,0,0.0008077544,0,0
22.5,0.3019479328,3.39E-01,2.86E-01,2.26E-01,1.76E-01,1.25E-01,9.06E-02,4.30E-02,3.46E-02,2.57E-02,2.08E-02,0.0134197657,0.0105135463,0.0023724792,0.0023724792,0.0048914705,0.0013103706,0.0013499325,0.0013499325,0.0014526438,0.0007137759,0.0004343105,0,0,0.0003694126,0,0.0010506041,0.0036291653,0.0003558719,0,0,0.0020193861,0,0
25,0.1328274985,1.54E-01,1.83E-01,2.59E-01,1.92E-01,1.26E-01,1.12E-01,6.77E-02,5.14E-02,3.02E-02,2.32E-02,0.0205845559,0.0138832727,0.0044060329,0.0044060329,0.0068786304,0.0020591539,0.0022498875,0.0022498875,0.0027600232,0.0026766595,0.0015200869,0.0014249074,0.0009302326,0.0003694126,0.0003694126,0.0024514096,0.0036291653,0.0007117438,0.0003397893,0.0003397893,0.0016155089,0.0006443299,0
27.5,0.0528069553,5.52E-02,9.46E-02,1.75E-01,1.52E-01,1.28E-01,1.19E-01,7.72E-02,4.81E-02,2.70E-02,2.03E-02,0.02581599,0.022105405,0.0091509914,0.0091509914,0.0073372057,0.0037439161,0.00479976,0.00479976,0.0040674027,0.005710207,0.003257329,0.0028498148,0.0018604651,0.0007388253,0.0003694126,0.0057783225,0.0064335203,0.0003558719,0.0003397893,0.0003397893,0.0044426494,0.0012886598,0
30,0.0235818486,1.63E-02,3.99E-02,8.21E-02,9.62E-02,1.20E-01,1.17E-01,7.04E-02,5.06E-02,2.37E-02,2.42E-02,0.0303650631,0.0258794986,0.0174546687,0.0174546687,0.0129929685,0.0073006365,0.0163491825,0.0163491825,0.0087158629,0.0123126338,0.0049945711,0.005414648,0.0027906977,0.0011082379,0.0007388253,0.0087550341,0.0085780271,0.0024911032,0.0027183146,0.0027183146,0.0044426494,0.0051546392,0
32.5,0.0112009196,4.24E-03,1.55E-02,3.50E-02,6.70E-02,8.23E-02,1.22E-01,8.37E-02,7.81E-02,3.79E-02,4.01E-02,0.042988741,0.0314058498,0.0347398746,0.0347398746,0.0152858453,0.0151628604,0.0208489576,0.0208489576,0.0209180709,0.0212348323,0.0143322476,0.0094043887,0.0080620155,0.0033247137,0.0011082379,0.0147084574,0.0150115473,0.0046263345,0.0054366293,0.0054366293,0.0084814216,0.0115979381,0
35,0.0034116338,8.32E-04,4.14E-03,2.16E-02,6.66E-02,7.88E-02,1.03E-01,1.22E-01,1.06E-01,8.30E-02,6.02E-02,0.0835892187,0.0574201375,0.056770039,0.056770039,0.022928768,0.0235866717,0.0347982601,0.0347982601,0.0339918652,0.045681656,0.0288816504,0.0250783699,0.0151937984,0.0099741411,0.0033247137,0.0208369813,0.025239195,0.0120996441,0.0159700985,0.0159700985,0.0153473344,0.0141752577,0
37.5,0.0007092285,2.23E-04,3.65E-04,1.94E-02,6.96E-02,9.44E-02,8.42E-02,1.57E-01,1.56E-01,1.22E-01,1.08E-01,0.1106562038,0.1004178461,0.0826978478,0.0826978478,0.031030266,0.0366903781,0.0455977201,0.0455977201,0.0599941894,0.0620985011,0.0462540717,0.0558563693,0.0306976744,0.0173623938,0.0099741411,0.0369462441,0.0404157044,0.0217081851,0.0197077812,0.0197077812,0.0254442649,0.0231958763,0.005464481
40,0.0001650791,8.09E-05,1.66E-05,1.49E-02,3.24E-02,8.08E-02,6.54E-02,1.40E-01,1.50E-01,1.61E-01,1.54E-01,0.1513704083,0.1241407198,0.1118454499,0.1118454499,0.0524304494,0.0608386372,0.0650967452,0.0650967452,0.0832364904,0.091006424,0.0723127036,0.0701054431,0.0458914729,0.0336165497,0.0173623938,0.0623358431,0.0567469482,0.0306049822,0.0237852531,0.0237852531,0.0379644588,0.0347938144,0.005464481
42.5,0.0001100527,3.07E-05,0,6.00E-03,1.20E-02,3.77E-02,4.12E-02,8.83E-02,1.08E-01,1.53E-01,1.84E-01,0.1550096668,0.1618816552,0.1459074733,0.1459074733,0.0898807704,0.093972295,0.0919454027,0.0919454027,0.1223126089,0.1159885796,0.1094462541,0.0940438871,0.0765891473,0.0539342446,0.0336165497,0.0775696025,0.0801715605,0.0473309609,0.0445124023,0.0445124023,0.0654281099,0.0605670103,0.032786885
45,0,1.12E-05,0,1.35E-03,1.17E-02,2.50E-02,4.86E-02,5.61E-02,7.61E-02,1.24E-01,1.43E-01,0.121801433,0.1386979377,0.1570920183,0.1570920183,0.1484255579,0.1252339948,0.1217939103,0.1217939103,0.1499128414,0.1425767309,0.1244299674,0.1159874608,0.1153488372,0.0871813816,0.0539342446,0.0928033619,0.1054107555,0.0768683274,0.0635406048,0.0635406048,0.0928917609,0.0914948454,0.030054645
47.5,0,2.79E-06,0,8.59E-05,1.53E-02,1.92E-02,3.20E-02,3.34E-02,5.05E-02,8.90E-02,9.99E-02,0.0809735016,0.1074268769,0.1055753262,0.1055753262,0.1392540507,0.1525645826,0.1412929354,0.1412929354,0.1449738524,0.1502498216,0.152660152,0.1419207751,0.1141085271,0.1152567418,0.0871813816,0.1047102084,0.1326294952,0.1067615658,0.0784913354,0.0784913354,0.1106623586,0.1101804124,0.081967213
50,0,5.58E-06,0,6.68E-05,5.40E-03,6.62E-03,1.34E-02,2.00E-02,3.57E-02,5.17E-02,6.33E-02,0.0659615603,0.0775037067,0.0850703271,0.0850703271,0.1452155304,0.1510670161,0.1406929654,0.1406929654,0.1230389309,0.1233047823,0.1491856678,0.1367911086,0.1231007752,0.1577391947,0.1152567418,0.1176676589,0.1440118773,0.1455516014,0.1083927965,0.1083927965,0.1009693053,0.1204896907,0.103825137
52.5,0,2.79E-06,0,9.55E-06,2.28E-03,2.97E-03,3.73E-03,1.17E-02,2.02E-02,3.27E-02,2.95E-02,0.043671102,0.0435368648,0.06710727,0.06710727,0.1131152553,0.1183077499,0.1181940903,0.1181940903,0.0899186519,0.0929693076,0.1283387622,0.1268167569,0.128372093,0.1581086073,0.1577391947,0.1237961828,0.129330254,0.1676156584,0.1393136256,0.1393136256,0.1090468498,0.1146907216,0.12295082
55,0,0,0,0,1.04E-03,1.09E-03,1.73E-03,5.46E-03,1.14E-02,1.78E-02,1.08E-02,0.0254748095,0.0300579593,0.0535502457,0.0535502457,0.0767349434,0.0947210782,0.0832458377,0.0832458377,0.0655142359,0.0638829408,0.0747014115,0.1000284981,0.1224806202,0.1429626893,0.1581086073,0.1199439678,0.0908940944,0.1334519573,0.1393136256,0.1393136256,0.1122778675,0.1237113402,0.191256831
57.5,0,0,0,0,3.75E-04,1.88E-04,6.49E-04,2.92E-03,5.84E-03,7.09E-03,4.91E-03,0.011258956,0.0160398976,0.0325368582,0.0325368582,0.052277591,0.0651441408,0.0508474576,0.0508474576,0.0441603719,0.0358672377,0.0458197611,0.0638358507,0.0911627907,0.0930919837,0.1429626893,0.0959551742,0.0719234576,0.1024911032,0.120285423,0.120285423,0.0941033926,0.0934278351,0.147540984
60,0,0,0,0,1.44E-04,1.50E-04,5.95E-04,1.30E-03,2.86E-03,2.93E-03,1.11E-03,0.0058000682,0.0079525543,0.0160989663,0.0160989663,0.0321002751,0.0278921752,0.0284985751,0.0284985751,0.0258570598,0.0185581727,0.0282301846,0.0310629809,0.056744186,0.0576283709,0.0930919837,0.057958326,0.042230287,0.0644128114,0.0978593272,0.0978593272,0.0860258481,0.0850515464,0.101092896
62.5,0,0,0,0,2.89E-05,7.52E-05,1.08E-04,1.86E-04,1.12E-03,5.71E-04,6.48E-04,0.0025019902,0.0029653592,0.0077952889,0.0077952889,0.0158972791,0.0117933358,0.0172491375,0.0172491375,0.0098779779,0.0103497502,0.0086862106,0.0108292961,0.0344186047,0.0362024381,0.0576283709,0.0322185257,0.0255691191,0.0380782918,0.0635406048,0.0635406048,0.0593699515,0.0534793814,0.090163934
65,0,0,0,0,0,1.13E-04,0,3.73E-04,8.42E-04,4.08E-04,2.78E-04,0.0005686341,0.0005391562,0.0033892561,0.0033892561,0.0077957811,0.0052414826,0.0091495425,0.0091495425,0.0058105752,0.0037473233,0.0052117264,0.0048446851,0.0182945736,0.019209457,0.0362024381,0.0154088601,0.0100626856,0.0199288256,0.0428134557,0.0428134557,0.0335218094,0.0270618557,0.054644809
67.5,0,0,0,0,0,0,5.41E-05,6.21E-05,1.68E-04,8.15E-05,0,0.0005686341,0.0001347891,0.0010167768,0.0010167768,0.0048914705,0.0016847623,0.0022498875,0.0022498875,0.0014526438,0.0003568879,0.0010857763,0.0028498148,0.007751938,0.00701884,0.019209457,0.0047277184,0.0041240515,0.0163701068,0.0173292559,0.0173292559,0.0173667205,0.0199742268,0.019125683
70,0,0,0,0,0,3.76E-05,0,0,0,8.15E-05,9.26E-05,0,0,0.0001694628,0.0001694628,0.0021400183,0.0005615874,0.0016499175,0.0016499175,0.0008715863,0,0.0002171553,0.0008549444,0.0049612403,0.0029553011,0.00701884,0.0015759061,0.0009897724,0.0049822064,0.0091743119,0.0091743119,0.0080775444,0.0070876289,0.005464481
72.5,0,0,0,0,0,3.76E-05,0,0,5.61E-05,0,0,0,0,0.0001694628,0.0001694628,0.0012228676,0.0001871958,0.000299985,0.000299985,0,0,0,0,0.0009302326,0.0014776505,0.0029553011,0.0014008055,0.0004948862,0.0028469751,0.0047570506,0.0047570506,0.0040387722,0.0019329897,0.008196721
75,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0.0004585754,0,0.0007499625,0.0007499625,0,0,0,0,0,0.0003694126,0,0.0003502014,0,0,0.002038736,0.002038736,0.0040387722,0,0
77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001499925,0.0001499925,0,0,0,0,0.0003100775,0,0,0,0,0,0.0003397893,0.0003397893,0.0008077544,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003558719,0,0,0,0,0
82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0